municipio,departamento,lat,lon
San Andres,Santander,6.8127777777778,-72.848055555556
San Andres Sotavento,Cordoba,9.1452777777778,-75.508611111111
San Antero,Cordoba,9.3775,-75.760277777778
San Antonio,Tolima,3.915,-75.479444444444
San Antonio de Tequendama,Cundinamarca,4.6161111111111,-74.352222222222
San Benito,Santander,6.1266666666667,-73.508888888889
San Benito Abad,Sucre,8.9272222222222,-75.026388888889
San Bernardo,Cundinamarca,4.1788888888889,-74.422222222222
San Bernardo,Nariño,1.5163888888889,-77.0467
San Bernardo del Viento,Cordoba,9.355,-75.954444444444
San Calixto,Norte De Santander,8.4027777777778,-73.207777777778
San Carlos,Antioquia,6.1872222222222,-74.992222222222
San Carlos,Cordoba,8.7944444444444,-75.699444444444
San Carlos de Guaroa,Meta,3.7111111111111,-73.2425
San Cayetano,Cundinamarca,5.3322222222222,-74.025555555556
San Cayetano,Norte De Santander,7.8772222222222,-72.624722222222
San Cristobal,Bolivar,10.3925,-75.063055555556
San Diego,Cesar,10.3325,-73.180833333333
San Eduardo,Boyaca,5.2225,-73.076944444444
San Estanislao,Bolivar,10.397777777778,-75.151388888889
San Felipe,Guainia,1.9136111111111,-67.066666666667
San Fernando,Bolivar,9.2119444444444,-74.323055555556
San Francisco,Antioquia,5.9641666666667,-75.101666666667
San Francisco,Cundinamarca,4.9711111111111,-74.289166666667
San Francisco,Putumayo,1.1747222222222,-76.879722222222
San Gil,Santander,6.555,-73.133611111111
San Jacinto,Bolivar,9.8311111111111,-75.121944444444
San Jacinto del Cauca,Bolivar,8.2497222222222,-74.72
San Jeronimo,Antioquia,6.4416666666667,-75.727777777778
San Joaquin,Santander,6.4277777777778,-72.8675
San Jose,Caldas,5.09,-75.79
San Jose de Montaña,Antioquia,6.8497222222222,-75.683611111111
San Jose de Miranda,Santander,6.6588888888889,-72.733055555556
San Jose de Pare,Boyaca,6.0191666666667,-73.546666666667
San Jose de Ure,Cordoba,7.7872222222222,-75.533055555556
San Jose del Fragua,Caqueta,1.3286111111111,-75.972777777778
San Jose del Guaviare,Guaviare,2.5652777777778,-72.638611111111
San Jose del Palmar,Choco,4.8969444444444,-76.234166666667
San Juan de Arama,Meta,3.3736111111111,-73.876666666667
San Juan de Betulia,Sucre,9.2733333333333,-75.243611111111
San Juan de RioSeco,Cundinamarca,4.8486111111111,-74.620555555556
San Juan de Uraba,Antioquia,8.7611111111111,-76.528611111111
San Juan del Cesar,La Guajira,10.770833333333,-73.003055555556
San Juan de Nepomuceno,Bolivar,9.9522222222222,-75.081111111111
San Juanito,Meta,4.4586111111111,-73.675555555556
San Lorenzo,Nariño,1.5038888888889,-77.2178
San Luis,Antioquia,6.0422222222222,-74.993333333333
San Luis,Tolima,4.1322222222222,-75.095555555556
San Luis de Gaceno,Boyaca,4.820164,-73.168417
San Luis de Palenque,Casanare,5.4222222222222,-71.731388888889
San Marcos,Sucre,8.6622222222222,-75.128888888889
San Martin,Cesar,8,-73.510277777778
San Martin de Loba,Bolivar,8.9388888888889,-74.039166666667
San Martin,Meta,3.6969444444444,-73.698611111111
San Mateo,Boyaca,6.4025,-72.555
San Miguel,Putumayo,0.34361111111111,-76.910833333333
San Miguel,Santander,6.5761111111111,-72.645833333333
San Miguel de Sema,Boyaca,5.5177777777778,-73.722777777778
San Onofre,Sucre,9.7372222222222,-75.525555555556
San Pablo,Bolivar,7.4763888888889,-73.923055555556
San Pablo,Nariño,1.6691666666667,-77.011666666667
San Pablo de Borbur,Boyaca,5.6513888888889,-74.069444444444
San Pedro,Antioquia,6.4594444444444,-75.557777777778
San Pedro,Sucre,9.3955555555556,-75.063055555556
San Pedro,Valle,3.9938888888889,-76.228333333333
San Pedro de Cartago,Nariño,1.5513888888889,-77.118888888889
San Pedro de Uraba,Antioquia,8.275,-76.376944444444
San Pelayo,Cordoba,8.9577777777778,-75.8375
San Rafael,Antioquia,6.295,-75.028055555556
San Roque,Antioquia,6.4852777777778,-75.019722222222
San Sebastian,Cauca,1.8411111111111,-76.7717
San Sebastian de Buenavista,Magdalena,9.2391666666667,-74.351944444444
San Vicente,Antioquia,6.2819444444444,-75.332222222222
San Vicente del Chucuri,Santander,6.8819444444444,-73.411944444444
San Vicente del Caguan,Caqueta,2.1152777777778,-74.77
San Zenon,Magdalena,9.245,-74.499166666667
Sandona,Nariño,1.2847222222222,-77.471111111111
Santa Ana,Magdalena,9.3194444444444,-74.570555555556
Santa Barbara,Antioquia,5.8747222222222,-75.566111111111
Santa Barbara (Iscuande),Nariño,2.4502777777778,-77.979722222222
Santa Barbara,Santander,6.9902777777778,-72.906666666667
Santa Barbara de Pinto,Magdalena,9.4352777777778,-74.701666666667
Santa Catalina,Bolivar,10.603888888889,-75.287777777778
Santa Helena del Opon,Santander,6.3391666666667,-73.616666666667
Santa Isabel,Tolima,4.7138888888889,-75.0975
