Municipio,Departamento,Participacion,Votos_Totales,Votos_Vacios,Votos_Nulos,Porcentaje_Si,Porcentaje_No,Votos_Si,Votos_No,Capital,Preferencia,IRV,cod_depto,cod_mpio
La Argentina,Huila,0.3012,3009,46,69,0.446,0.5539,1291,1603,0,No,0.26,41,378
La Plata,Huila,0.3458,13985,114,205,0.3274,0.6725,4475,9191,0,No,0.21,41,396
Nataga,Huila,0.3935,1770,22,20,0.3495,0.6504,604,1124,0,No,0.22,41,483
Neiva,Huila,0.4278,109294,479,1066,0.4555,0.5444,49083,58666,1,No,0.25,41,001
Oporapa,Huila,0.4306,3174,36,45,0.2738,0.7261,847,2246,0,No,0.16,41,503
Paicol,Huila,0.459,2175,22,27,0.2841,0.7158,604,1522,0,No,0.10,41,518
Palermo,Huila,0.3813,7831,37,79,0.376,0.6239,2901,4814,0,No,0.20,41,524
Palestina,Huila,0.3666,3120,34,64,0.3792,0.6207,1146,1876,0,No,0.16,41,530
Pital,Huila,0.4009,3658,22,55,0.2837,0.7162,1016,2565,0,No,0.15,41,548
Pitalito,Huila,0.348,31240,179,405,0.3477,0.6522,10660,19996,0,No,0.26,41,551
Rivera,Huila,0.4009,6495,40,90,0.4586,0.5413,2919,3446,0,No,0.19,41,615
Saladoblanco,Huila,0.3991,3447,38,53,0.4231,0.5768,1420,1936,0,No,0.23,41,660
San Agustin,Huila,0.3696,8630,93,144,0.3265,0.6734,2741,5652,0,No,0.25,41,668
Santa Maria,Huila,0.4204,3330,26,47,0.2883,0.7116,939,2318,0,No,0.18,41,676
Suaza,Huila,0.2776,3307,41,56,0.3199,0.68,1027,2183,0,No,0.18,41,770
Tarqui,Huila,0.3943,4532,31,59,0.3212,0.6787,1427,3015,0,No,0.14,41,791
Tello,Huila,0.3827,4139,37,83,0.4725,0.5274,1899,2120,0,No,0.30,41,799
Teruel,Huila,0.3987,2584,11,36,0.2908,0.7091,738,1799,0,No,0.16,41,801
Tesalia,Huila,0.4354,3431,24,60,0.2354,0.7645,788,2559,0,No,0.16,41,797
Timana,Huila,0.4006,6041,64,65,0.2437,0.7562,1441,4471,0,No,0.11,41,807
Villavieja,Huila,0.4034,2632,22,44,0.5767,0.4232,1480,1086,0,Si,0.09,41,872
Yaguara,Huila,0.4419,2983,5,39,0.3868,0.6131,1137,1802,0,No,0.06,41,885
Albania,La Guajira,0.2488,4139,87,64,0.585,0.4149,2333,1655,0,Si,0.24,44,035
Barrancas,La Guajira,0.2698,6454,13,73,0.7163,0.2836,4562,1806,0,Si,0.30,44,078
Dibulla,La Guajira,0.2302,4732,49,68,0.7163,0.2836,3306,1309,0,Si,0.46,44,090
Distraccion,La Guajira,0.3059,2522,12,31,0.6401,0.3598,1587,892,0,Si,0.18,44,098
El Molino,La Guajira,0.371,2510,9,21,0.6629,0.337,1644,836,0,Si,0.27,44,110
Fonseca,La Guajira,0.3485,9006,40,101,0.7221,0.2778,6402,2463,0,Si,0.26,44,279
Hatonuevo,La Guajira,0.3021,4240,31,59,0.6857,0.3142,2846,1304,0,Si,0.17,44,378
La Jagua Del Pilar,La Guajira,0.3115,1196,0,15,0.729,0.2709,861,320,0,Si,0.17,44,420
Maicao,La Guajira,0.1726,20773,257,187,0.5295,0.4704,10766,9563,0,Si,0.30,44,430
Manaure,La Guajira,0.062,3260,30,44,0.5549,0.445,1768,1418,0,Si,0.11,44,560
Riohacha,La Guajira,0.2534,28290,287,298,0.6357,0.3642,17613,10092,1,Si,0.27,44,001
San Juan Del Cesar,La Guajira,0.3004,9392,66,158,0.489,0.5109,4484,4684,0,No,0.25,44,650
Uribia,La Guajira,0.0338,3434,19,44,0.5081,0.4918,1713,1658,0,Si,0.11,44,847
Urumita,La Guajira,0.4032,3225,10,32,0.6415,0.3584,2042,1141,0,Si,0.27,44,855
Villanueva,La Guajira,0.333,6044,50,79,0.59,0.4099,3490,2425,0,Si,0.19,44,874
Algarrobo,Magdalena,0.2166,2041,21,28,0.7655,0.2344,1525,467,0,Si,0.25,47,030
Aracataca,Magdalena,0.0583,1550,8,25,0.6341,0.3658,962,555,0,Si,0.22,47,053
Ariguani,Magdalena,0.2593,5634,79,51,0.6164,0.3835,3393,2111,0,Si,0.17,47,058
Cerro De San Antonio,Magdalena,0.291,2443,11,23,0.9066,0.0933,2184,225,0,Si,0.08,47,161
Chivolo,Magdalena,0.276,3619,25,39,0.7952,0.2047,2827,728,0,Si,0.21,47,170
Cienaga,Magdalena,0.2181,17804,388,117,0.4988,0.5011,8629,8670,0,No,0.27,47,189
Concordia,Magdalena,0.2482,2623,15,16,0.8684,0.1315,2251,341,0,Si,0.05,47,205
El Banco,Magdalena,0.271,12568,141,152,0.5607,0.4392,6883,5392,0,Si,0.17,47,245
El Piñon,Magdalena,0.234,3089,32,22,0.8257,0.1742,2506,529,0,Si,0.09,47,258
El Reten,Magdalena,0.2276,2903,144,27,0.7071,0.2928,1932,800,0,Si,0.17,47,268
Fundacion,Magdalena,0.1769,9049,24,97,0.5168,0.4831,4609,4308,0,Si,0.23,47,288
Guamal,Magdalena,0.2128,4715,47,36,0.6452,0.3547,2989,1643,0,Si,0.10,47,318
Nueva Granada,Magdalena,0.2109,3013,20,18,0.5949,0.405,1770,1205,0,Si,0.18,47,460
Pedraza,Magdalena,0.2157,1926,20,14,0.7082,0.2917,1340,552,0,Si,0.14,47,541
Pijiño Del Carmen,Magdalena,0.3206,2505,22,24,0.6331,0.3668,1557,902,0,Si,0.08,47,545
Pivijay,Magdalena,0.2603,7378,48,84,0.8712,0.1287,6313,933,0,Si,0.20,47,551
Plato,Magdalena,0.25,9805,92,98,0.6564,0.3435,6312,3303,0,Si,0.23,47,555
Puebloviejo,Magdalena,0.1983,4022,108,37,0.5047,0.4952,1957,1920,0,Si,0.16,47,570
Remolino,Magdalena,0.2761,1943,12,15,0.8956,0.1043,1716,200,0,Si,0.11,47,605
Sabanas De San Angel,Magdalena,0.1799,1868,33,17,0.5995,0.4004,1090,728,0,Si,0.27,47,660
Salamina,Magdalena,0.1761,1313,8,10,0.5698,0.4301,738,557,0,Si,0.10,47,675
San Sebastian De Buenavista,Magdalena,0.3219,5094,32,41,0.7773,0.2226,3903,1118,0,Si,0.11,47,692
San Zenon,Magdalena,0.3561,2830,21,14,0.8221,0.1778,2298,497,0,Si,0.09,47,703
Santa Ana,Magdalena,0.2808,4278,27,37,0.546,0.4539,2301,1913,0,Si,0.11,47,707
Santa Barbara De Pinto,Magdalena,0.2702,2156,15,21,0.8193,0.1806,1737,383,0,Si,0.08,47,720
Santa Marta,Magdalena,0.2916,94188,461,767,0.5356,0.4643,49797,43163,1,Si,0.23,47,001
Sitionuevo,Magdalena,0.1415,2520,88,19,0.6833,0.3166,1649,764,0,Si,0.18,47,745
Tenerife,Magdalena,0.3021,2974,28,39,0.8493,0.1506,2469,438,0,Si,0.22,47,798
Zapayan,Magdalena,0.3421,2648,19,21,0.8125,0.1875,2119,489,0,Si,0.16,47,960
Zona Bananera (Sevilla),Magdalena,0.0843,3622,22,25,0.6453,0.3546,2307,1268,0,Si,0.20,47,980
Acacias,Meta,0.5401,30284,130,663,0.2705,0.7294,7978,21513,0,No,0.18,50,006
Barranca De Upia,Meta,0.411,1762,11,34,0.357,0.6429,613,1104,0,No,0.17,50,110
Cabuyaro,Meta,0.4252,1943,13,30,0.3778,0.6221,718,1182,0,No,0.18,50,124
Castilla La Nueva,Meta,0.5957,6274,36,149,0.2855,0.7144,1739,4350,0,No,0.14,50,150
Cubarral,Meta,0.4145,2032,15,30,0.3029,0.697,602,1385,0,No,0.40,50,223
Cumaral,Meta,0.497,7701,31,115,0.325,0.6749,2456,5099,0,No,0.18,50,226
El Calvario,Meta,0.4018,686,11,11,0.5331,0.4668,354,310,0,Si,0.10,50,245
El Castillo,Meta,0.3881,2086,31,34,0.617,0.3829,1247,774,0,Si,0.54,50,251
El Dorado,Meta,0.4906,1371,11,13,0.4231,0.5768,570,777,0,No,0.30,50,270
Fuente De Oro,Meta,0.404,3815,31,75,0.4195,0.5804,1556,2153,0,No,0.21,50,287
Granada,Meta,0.4105,19968,125,421,0.3607,0.6392,7007,12415,0,No,0.33,50,313
Guamal,Meta,0.5273,5471,15,62,0.2439,0.756,1316,4078,0,No,0.20,50,318
La Macarena,Meta,0.3934,3108,19,51,0.7366,0.2633,2238,800,0,Si,0.66,50,350
Lejanias,Meta,0.3864,3054,39,92,0.4403,0.5596,1287,1636,0,No,0.54,50,400
Mapiripan,Meta,0.2311,1247,12,33,0.5798,0.4201,697,505,0,Si,0.74,50,325
Mesetas,Meta,0.4014,3045,30,46,0.6207,0.3792,1843,1126,0,Si,0.71,50,330
Puerto Concordia,Meta,0.3774,2264,31,61,0.5515,0.4484,1198,974,0,Si,0.47,50,450
Puerto Gaitan,Meta,0.3954,8892,254,188,0.3328,0.6671,2813,5637,0,No,0.59,50,568
Puerto Lleras,Meta,0.3649,2313,24,41,0.4435,0.5564,997,1251,0,No,0.58,50,577
Puerto Lopez,Meta,0.4096,9355,47,126,0.2792,0.7207,2564,6618,0,No,0.25,50,573
Puerto Rico,Meta,0.3893,3098,23,79,0.4816,0.5183,1443,1553,0,No,0.91,50,590
Restrepo,Meta,0.4087,6104,23,60,0.4092,0.5907,2464,3557,0,No,0.18,50,606
San Carlos De Guaroa,Meta,0.4706,3654,22,59,0.3299,0.67,1179,2394,0,No,0.15,50,680
San Juan De Arama,Meta,0.3821,2292,18,48,0.4779,0.522,1064,1162,0,No,0.66,50,683
San Juanito,Meta,0.4639,586,6,8,0.5402,0.4597,309,263,0,Si,0.12,50,686
San Martin De Los Llanos,Meta,0.4483,7901,47,99,0.2787,0.7212,2162,5593,0,No,0.29,50,689
Uribe,Meta,0.4686,2214,24,14,0.9356,0.0643,2036,140,0,Si,0.77,50,370
Villavicencio,Meta,0.4649,159620,400,1757,0.3596,0.6403,56633,100830,1,No,0.24,50,001
Vista Hermosa,Meta,0.4227,5103,74,126,0.5288,0.4711,2593,2310,0,Si,1.00,50,711
Alban,Nariño,0.4634,2984,65,65,0.4358,0.5641,1244,1610,0,No,0.08,52,019
Aldana,Nariño,0.4614,2656,38,52,0.5058,0.4941,1298,1268,0,Si,0.12,52,022
Ancuya,Nariño,0.329,2381,32,35,0.7273,0.2726,1683,631,0,Si,0.21,52,036
Arboleda,Nariño,0.4402,2511,54,67,0.4828,0.5171,1154,1236,0,No,0.07,52,051
Barbacoas,Nariño,0.209,4361,76,63,0.7482,0.2517,3159,1063,0,Si,1.00,52,079
Belen,Nariño,0.454,2419,35,32,0.6028,0.3971,1418,934,0,Si,0.14,52,083
Buesaco,Nariño,0.3561,6029,85,109,0.5005,0.4994,2921,2914,0,Si,0.15,52,110
Chachagui,Nariño,0.4097,3897,43,50,0.6248,0.3751,2377,1427,0,Si,0.11,52,240
Colon,Nariño,0.424,2807,73,127,0.6033,0.3966,1573,1034,0,Si,0.20,52,203
Consaca,Nariño,0.4167,3541,55,83,0.5786,0.4213,1969,1434,0,Si,0.17,52,207
Contadero,Nariño,0.3584,1987,23,25,0.5342,0.4657,1036,903,0,Si,0.12,52,210
Cordoba,Nariño,0.3527,3564,72,53,0.6216,0.3783,2138,1301,0,Si,0.21,52,215
Cuaspud,Nariño,0.3775,2707,43,37,0.4739,0.526,1245,1382,0,No,0.14,52,224
Cumbal,Nariño,0.3782,8853,131,216,0.6373,0.3626,5421,3085,0,Si,0.27,52,227
Cumbitara,Nariño,0.3969,2462,19,25,0.8763,0.1236,2119,299,0,Si,0.72,52,233
El Charco,Nariño,0.3315,5221,97,60,0.9081,0.0918,4599,465,0,Si,0.69,52,250
El Peñol,Nariño,0.5519,2957,33,58,0.8066,0.1933,2312,554,0,Si,0.17,52,254
El Rosario,Nariño,0.3975,2643,19,42,0.9078,0.0921,2344,238,0,Si,0.49,52,256
El Tablon,Nariño,0.4373,4730,84,109,0.6568,0.3431,2980,1557,0,Si,0.27,52,258
El Tambo,Nariño,0.4661,5246,99,108,0.707,0.2929,3563,1576,0,Si,0.27,52,260
Francisco Pizarro,Nariño,0.2569,1621,15,27,0.8435,0.1564,1332,247,0,Si,0.46,52,520
Funes,Nariño,0.429,2381,38,31,0.6812,0.3187,1575,737,0,Si,0.08,52,287
Guachucal,Nariño,0.3256,4581,54,78,0.5643,0.4356,2511,1938,0,Si,0.19,52,317
Guaitarilla,Nariño,0.2916,3153,51,47,0.7381,0.2618,2255,800,0,Si,0.09,52,320
Gualmatan,Nariño,0.4693,2383,15,32,0.601,0.3989,1404,932,0,Si,0.03,52,323
Iles,Nariño,0.3433,2369,37,45,0.6252,0.3747,1430,857,0,Si,0.05,52,352
Imues,Nariño,0.3371,2129,33,28,0.5589,0.441,1156,912,0,Si,0.10,52,354
Ipiales,Nariño,0.3559,32826,617,503,0.5003,0.4996,15864,15842,0,Si,0.31,52,356
La Cruz,Nariño,0.4192,5690,105,87,0.5176,0.4823,2846,2652,0,Si,0.22,52,378
La Florida,Nariño,0.3605,3227,48,39,0.7299,0.27,2292,848,0,Si,0.18,52,381
La Llanada,Nariño,0.4413,1490,36,58,0.7134,0.2865,996,400,0,Si,0.48,52,385
La Tola,Nariño,0.3953,1975,8,23,0.8796,0.1203,1710,234,0,Si,0.39,52,390
La Union,Nariño,0.3592,7736,125,164,0.4297,0.5702,3200,4247,0,No,0.21,52,399
Leiva,Nariño,0.4098,2973,47,44,0.9038,0.0961,2605,277,0,Si,0.49,52,405
Linares,Nariño,0.428,3632,69,64,0.8708,0.1291,3047,452,0,Si,0.41,52,411
Los Andes,Nariño,0.4597,3279,70,60,0.7704,0.2295,2426,723,0,Si,0.48,52,418
Magui,Nariño,0.3767,2344,24,34,0.9313,0.0686,2129,157,0,Si,0.61,52,427
Mallama,Nariño,0.317,1897,30,38,0.6309,0.369,1154,675,0,Si,0.47,52,435
Mosquera,Nariño,0.3788,2234,13,22,0.8981,0.1018,1975,224,0,Si,0.34,52,473
Nariño,Nariño,0.406,1673,15,21,0.6035,0.3964,988,649,0,Si,0.12,52,480
Olaya Herrera,Nariño,0.2412,3274,34,36,0.8214,0.1785,2632,572,0,Si,0.55,52,490
Ospina,Nariño,0.3181,1803,38,26,0.6336,0.3663,1102,637,0,Si,0.04,52,506
Pasto,Nariño,0.4086,114341,501,1505,0.6262,0.3737,70354,41981,1,Si,0.16,52,001
Policarpa,Nariño,0.4463,4257,55,51,0.8889,0.111,3690,461,0,Si,0.87,52,540
Potosi,Nariño,0.3724,3510,48,63,0.4677,0.5322,1590,1809,0,No,0.13,52,560
Providencia,Nariño,0.4437,1890,50,26,0.8743,0.1256,1586,228,0,Si,0.24,52,565
Puerres,Nariño,0.4442,3292,34,70,0.6872,0.3127,2191,997,0,Si,0.23,52,573
Pupiales,Nariño,0.4132,6033,63,140,0.4837,0.5162,2820,3010,0,No,0.10,52,585
Ricaurte,Nariño,0.2248,3048,79,48,0.6665,0.3334,1947,974,0,Si,0.91,52,612
Roberto Payan,Nariño,0.2826,2365,10,22,0.9151,0.0848,2135,198,0,Si,0.82,52,621
Samaniego,Nariño,0.3914,8666,69,166,0.8388,0.1611,7072,1359,0,Si,0.63,52,678
San Bernardo,Nariño,0.5222,3171,57,50,0.6174,0.3825,1892,1172,0,Si,0.87,52,685
San Lorenzo,Nariño,0.3742,4779,98,158,0.6217,0.3782,2812,1711,0,Si,0.09,52,687
San Pablo,Nariño,0.3321,3759,92,93,0.6583,0.3416,2353,1221,0,Si,0.14,52,693
San Pedro De Cartago,Nariño,0.4103,2148,49,52,0.5168,0.4831,1058,989,0,Si,0.23,52,694
Sandona,Nariño,0.4258,6773,107,112,0.642,0.3579,4208,2346,0,Si,0.10,52,683
Santa Barbara,Nariño,0.3531,2471,12,24,0.9154,0.0845,2229,206,0,Si,0.21,52,696
Santacruz,Nariño,0.2773,1907,54,39,0.7171,0.2828,1301,513,0,Si,0.63,52,699
Sapuyes,Nariño,0.3299,1857,21,32,0.6036,0.3963,1089,715,0,Si,0.52,52,720
Taminango,Nariño,0.3692,5014,100,94,0.7867,0.2132,3792,1028,0,Si,0.08,52,786
Tangua,Nariño,0.3237,3198,26,46,0.5307,0.4692,1659,1467,0,Si,0.21,52,788
Tumaco,Nariño,0.2813,34266,503,709,0.7119,0.288,23534,9520,0,Si,0.13,52,835
Tuquerres,Nariño,0.3027,10320,147,268,0.6445,0.3554,6384,3521,0,Si,0.30,52,838
Yacuanquer,Nariño,0.4121,3352,61,88,0.6771,0.3228,2169,1034,0,Si,0.09,52,885
Abrego,Norte De Santander,0.3017,6377,56,77,0.3355,0.6644,2095,4149,0,No,0.20,54,003
Arboledas,Norte De Santander,0.4535,3096,53,58,0.3038,0.6961,907,2078,0,No,0.13,54,051
Bochalema,Norte De Santander,0.4864,2941,25,50,0.3768,0.6231,1080,1786,0,No,0.10,54,099
Bucarisca,Norte De Santander,0.3646,1498,30,70,0.2954,0.7045,413,985,0,No,0.23,54,109
Cachira,Norte De Santander,0.3785,2634,15,28,0.2049,0.795,531,2060,0,No,0.24,54,128
Cacota,Norte De Santander,0.4049,873,4,24,0.4887,0.5112,413,432,0,No,0.06,54,125
Chinacota,Norte De Santander,0.4772,5453,29,90,0.3717,0.6282,1983,3351,0,No,0.16,54,172
Chitaga,Norte De Santander,0.3845,2908,45,78,0.3791,0.6208,1056,1729,0,No,0.14,54,174
Convencion,Norte De Santander,0.2517,3732,83,137,0.5982,0.4017,2101,1411,0,Si,0.83,54,206
Cucuta,Norte De Santander,0.4527,245727,1325,3088,0.3463,0.6536,83572,157742,1,No,0.18,54,001
Cucutilla,Norte De Santander,0.4764,2939,79,72,0.3364,0.6635,938,1850,0,No,0.08,54,223
Durania,Norte De Santander,0.4517,1933,13,32,0.5312,0.4687,1003,885,0,Si,0.18,54,239
El Carmen,Norte De Santander,0.3049,3059,38,118,0.5218,0.4781,1515,1388,0,Si,0.54,54,245
El Tarra,Norte De Santander,0.2885,3222,41,92,0.9151,0.0848,2827,262,0,Si,1.00,54,250
El Zulia,Norte De Santander,0.3972,8042,67,181,0.3554,0.6445,2770,5024,0,No,0.29,54,261
Gramalote,Norte De Santander,0.4012,1946,23,38,0.3352,0.6647,632,1253,0,No,0.11,54,313
Hacari,Norte De Santander,0.2662,1839,34,59,0.8946,0.1053,1562,184,0,Si,0.59,54,344
Herran,Norte De Santander,0.3335,1192,18,28,0.3289,0.671,377,769,0,No,0.06,54,347
La Esperanza,Norte De Santander,0.369,3060,43,55,0.3446,0.6553,1021,1941,0,No,0.29,54,385
La Playa,Norte De Santander,0.2375,1574,32,39,0.4883,0.5116,734,769,0,No,0.27,54,398
Labateca,Norte De Santander,0.3484,1709,18,32,0.5286,0.4713,877,782,0,Si,0.13,54,377
Los Patios,Norte De Santander,0.3688,28831,58,293,0.2804,0.7195,7986,20494,0,No,0.11,54,405
Lourdes,Norte De Santander,0.4041,1299,25,53,0.2596,0.7403,317,904,0,No,0.07,54,418
Mutiscua,Norte De Santander,0.4256,1134,9,21,0.4519,0.548,499,605,0,No,0.04,54,480
Ocaña,Norte De Santander,0.3678,27977,126,378,0.3914,0.6085,10753,16720,0,No,0.22,54,498
Pamplona,Norte De Santander,0.4403,18963,85,293,0.35,0.6499,6506,12079,0,No,0.08,54,518
Pamplonita,Norte De Santander,0.4852,1842,41,46,0.3287,0.6712,577,1178,0,No,0.06,54,520
Puerto Santander,Norte De Santander,0.1704,2236,10,28,0.2688,0.7311,591,1607,0,No,0.27,54,553
Ragonvalia,Norte De Santander,0.2683,1728,17,23,0.25,0.75,422,1266,0,No,0.11,54,599
Salazar,Norte De Santander,0.4215,3156,47,106,0.3243,0.6756,974,2029,0,No,0.16,54,660
San Calixto,Norte De Santander,0.3735,2607,25,68,0.9518,0.0481,2393,121,0,Si,0.78,54,670
San Cayetano,Norte De Santander,0.3243,2244,8,33,0.315,0.6849,694,1509,0,No,0.18,54,673
Santiago,Norte De Santander,0.4406,1459,8,30,0.4517,0.5482,642,779,0,No,0.19,54,680
Sardinata,Norte De Santander,0.3465,5913,78,119,0.3483,0.6516,1991,3725,0,No,0.76,54,720
Silos,Norte De Santander,0.3508,1392,15,18,0.1905,0.8094,259,1100,0,No,0.06,54,743
Teorama,Norte De Santander,0.3036,2953,45,99,0.8647,0.1352,2429,380,0,Si,0.88,54,800
Tibu,Norte De Santander,0.2942,9182,99,228,0.6603,0.3396,5847,3008,0,Si,0.85,54,810
Toledo,Norte De Santander,0.3583,4310,61,135,0.3186,0.6813,1311,2803,0,No,0.25,54,820
Villa Caro,Norte De Santander,0.3383,1261,21,23,0.244,0.7559,297,920,0,No,0.08,54,871
Villa Del Rosario,Norte De Santander,0.338,26839,78,275,0.2401,0.7598,6360,20126,0,No,0.18,54,874
Colon,Putumayo,0.4505,1912,17,19,0.5714,0.4285,1072,804,0,Si,0.23,86,219
Mocoa,Putumayo,0.3707,13066,84,159,0.6018,0.3981,7718,5105,1,Si,0.40,86,001
Orito,Putumayo,0.3171,8226,86,155,0.772,0.2279,6165,1820,0,Si,0.69,86,320
Puerto Asis,Putumayo,0.2673,11158,145,207,0.5799,0.42,6267,4539,0,Si,0.96,86,568
Puerto Caicedo,Putumayo,0.3225,2878,50,79,0.7082,0.2917,1947,802,0,Si,0.78,86,569
Puerto Guzman,Putumayo,0.2941,3106,41,57,0.7234,0.2765,2176,832,0,Si,0.76,86,571
Puerto Leguizamo,Putumayo,0.2628,3794,29,39,0.545,0.4549,2031,1695,0,Si,0.79,86,573
San Francisco,Putumayo,0.4242,1998,35,45,0.5573,0.4426,1069,849,0,Si,0.17,86,755
San Miguel,Putumayo,0.296,3487,56,56,0.8343,0.1656,2816,559,0,Si,0.90,86,757
Santiago,Putumayo,0.3912,2320,32,48,0.6066,0.3933,1359,881,0,Si,0.13,86,760
Sibundoy,Putumayo,0.4301,4434,75,77,0.5836,0.4163,2499,1783,0,Si,0.17,86,749
Valle Del Guamuez,Putumayo,0.3416,7917,78,105,0.8604,0.1395,6655,1079,0,Si,0.75,86,865
Villagarzon,Putumayo,0.3672,5794,54,114,0.5099,0.49,2869,2757,0,Si,0.69,86,885
Armenia,Quindio,0.4236,105002,913,1205,0.426,0.5739,43835,59049,1,No,0.11,63,001
Buenavista,Quindio,0.3598,1028,6,17,0.4388,0.5611,441,564,0,No,0.11,63,111
Calarca,Quindio,0.411,23963,262,377,0.3758,0.6241,8767,14557,0,No,0.19,63,130
Circasia,Quindio,0.4267,9364,53,131,0.3641,0.6358,3343,5837,0,No,0.08,63,190
Cordoba,Quindio,0.385,1960,25,35,0.4589,0.541,872,1028,0,No,0.22,63,212
Filandia,Quindio,0.4114,4256,39,68,0.3668,0.6331,1522,2627,0,No,0.10,63,272
Genova,Quindio,0.3805,2810,29,55,0.362,0.6379,987,1739,0,No,0.24,63,302
La Tebaida,Quindio,0.4056,11156,98,204,0.3714,0.6285,4032,6822,0,No,0.11,63,401
Montenegro,Quindio,0.3586,11873,108,227,0.2945,0.7054,3398,8140,0,No,0.12,63,470
Pijao,Quindio,0.396,2385,13,34,0.3485,0.6514,815,1523,0,No,0.32,63,548
Quimbaya,Quindio,0.4044,12049,211,154,0.3875,0.6124,4528,7156,0,No,0.09,63,594
Salento,Quindio,0.4474,2578,27,32,0.3386,0.6613,853,1666,0,No,0.17,63,690
Apia,Risaralda,0.3623,3800,47,84,0.3447,0.6552,1265,2404,0,No,0.18,66,045
Balboa,Risaralda,0.3651,2032,23,44,0.4534,0.4565,891,1074,0,No,0.16,66,075
Belen De Umbria,Risaralda,0.3323,7133,73,143,0.3815,0.6184,2639,4278,0,No,0.07,66,088
Dosquebradas,Risaralda,0.438,67458,364,1044,0.4247,0.5752,28055,37995,0,No,0.08,66,170
Guatica,Risaralda,0.3666,3795,45,67,0.3366,0.6633,1240,2443,0,No,0.11,66,318
La Celia,Risaralda,0.378,2457,33,59,0.3818,0.6181,903,1462,0,No,0.11,66,383
La Virginia,Risaralda,0.3952,12411,120,210,0.4016,0.5983,4852,7229,0,No,0.10,66,400
Marsella,Risaralda,0.36,5602,88,97,0.3815,0.6184,2067,3350,0,No,0.07,66,440
Mistrato,Risaralda,0.3393,3765,58,65,0.5288,0.4711,1926,1716,0,Si,0.30,66,456
Pereira,Risaralda,0.4216,165775,836,2278,0.4614,0.5385,75063,87598,1,No,0.14,66,001
Pueblo Rico,Risaralda,0.3083,2851,76,47,0.6304,0.3695,1720,1008,0,Si,0.47,66,572
Quinchia,Risaralda,0.4198,8321,184,259,0.526,0.4739,4144,3734,0,Si,0.16,66,594
Santa Rosa De Cabal,Risaralda,0.4293,25498,184,518,0.402,0.5979,9970,14826,0,No,0.06,66,682
Santuario,Risaralda,0.3079,3775,70,119,0.4107,0.5892,1473,2113,0,No,0.17,66,687
Providencia,San Andres,0.3012,1210,16,4,0.8184,0.1815,974,216,0,Si,0.08,88,564
San Andres,San Andres,0.193,8466,36,32,0.5121,0.4878,4301,4097,1,Si,0.10,88,001
Aguada,Santander,0.2368,361,8,6,0.4755,0.5244,165,182,0,No,0.02,68,013
Albania,Santander,0.3647,1200,21,15,0.5635,0.4364,656,508,0,Si,0.05,68,020
Aratoca,Santander,0.4137,2680,50,51,0.5149,0.485,1328,1251,0,Si,0.06,68,051
Barbosa,Santander,0.3798,9191,64,162,0.4922,0.5077,4413,4552,0,No,0.10,68,077
Barichara,Santander,0.4165,2608,20,51,0.5723,0.4276,1452,1085,0,Si,0.03,68,079
Barrancabermeja,Santander,0.4609,77255,402,1153,0.5054,0.4945,38260,37440,0,Si,0.23,68,081
Betulia,Santander,0.3767,1503,11,39,0.4267,0.5732,620,833,0,No,0.07,68,092
Bolivar,Santander,0.3435,2845,76,98,0.5241,0.4758,1400,1271,0,Si,0.33,68,101
Bucaramanga,Santander,0.4556,225567,457,1982,0.4488,0.5511,100143,122985,1,No,0.11,68,001
Cabrera,Santander,0.4227,695,7,10,0.6578,0.3421,446,232,0,Si,0.05,68,121
California,Santander,0.4224,708,5,19,0.2222,0.7777,152,532,0,No,0.06,68,132
Capitanejo,Santander,0.3778,1840,33,32,0.3785,0.6214,672,1103,0,No,0.02,68,147
Carcasi,Santander,0.4515,1651,23,61,0.3248,0.6751,509,1058,0,No,0.04,68,152
Cepita,Santander,0.5324,943,16,25,0.6474,0.3525,584,318,0,Si,0.05,68,160
Cerrito,Santander,0.4532,2177,37,82,0.4611,0.5388,949,1109,0,No,0.10,68,162
Charala,Santander,0.3737,3582,28,53,0.6135,0.3864,2148,1353,0,Si,0.06,68,167
Charta,Santander,0.416,1339,8,18,0.2833,0.7166,372,941,0,No,0.09,68,169
Chima,Santander,0.3905,913,25,31,0.6511,0.3488,558,299,0,Si,0.19,68,176
Chipata,Santander,0.2387,989,17,12,0.7156,0.2843,687,273,0,Si,0.02,68,179
Cimitarra,Santander,0.3391,9548,79,271,0.4042,0.5957,3718,5480,0,No,0.20,68,190
Concepcion,Santander,0.385,1884,165,62,0.3874,0.6125,642,1015,0,No,0.05,68,207
Confines,Santander,0.3683,865,6,14,0.3798,0.6201,321,524,0,No,0.04,68,209
Contratacion,Santander,0.4695,1371,25,30,0.579,0.4209,762,554,0,Si,0.07,68,211
Coromoro,Santander,0.3849,1594,41,67,0.5349,0.465,795,691,0,Si,0.11,68,217
Curiti,Santander,0.411,3378,35,76,0.467,0.5329,1526,1741,0,No,0.04,68,229
El Carmen,Santander,0.416,4458,44,162,0.2676,0.7323,1138,3114,0,No,0.15,68,235
El Guacamayo,Santander,0.5113,813,17,23,0.6972,0.3027,539,234,0,Si,0.05,68,245
El Peñon,Santander,0.3977,1328,32,45,0.4956,0.5043,620,631,0,No,0.38,68,250
El Playon,Santander,0.3773,4361,59,104,0.2756,0.7243,1157,3041,0,No,0.15,68,255
Encino,Santander,0.3259,692,17,26,0.624,0.3759,405,244,0,Si,0.09,68,264
